YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENE_AGE_LVL,TOT_MDCR_PYMT_PC,TOT_MDCR_STDZD_PYMT_PC
2017,State,WY,56,<65,10200.33,9436.32
2017,State,WY,56,>65,8520.44,7604.07
2018,National,National,,All,10700.85,10113.47
2018,National,National,,<65,12171.35,11520.25
2018,National,National,,>65,10438.15,9862.16
2018,State,AK,2,All,10006.15,7509.78
2018,State,AK,2,<65,13582.74,10295.77
2018,State,AK,2,>65,9448.92,7075.72
2018,State,AL,1,All,9831.2,10775.77
2018,State,AL,1,<65,9778.57,10678.38
2018,State,AL,1,>65,9845.56,10802.35
2018,State,AR,5,All,9393.4,10076.58
2018,State,AR,5,<65,9334.5,9979.8
2018,State,AR,5,>65,9406.75,10098.51
2018,State,AZ,4,All,9641.13,9161.61
2018,State,AZ,4,<65,11961.64,11258.13
2018,State,AZ,4,>65,9425.38,8966.69
2018,State,CA,6,All,12288.49,9860.82
2018,State,CA,6,<65,14952,11893.71
2018,State,CA,6,>65,11846,9523.09
2018,State,CO,8,All,9226.48,8776.61
2018,State,CO,8,<65,11049.82,10526.88
2018,State,CO,8,>65,8951.74,8512.88
2018,State,CT,9,All,12649.79,10723.06
2018,State,CT,9,<65,13825.8,11871.92
2018,State,CT,9,>65,12438.83,10516.97
2018,State,DC,11,All,12230.33,10393.67
2018,State,DC,11,<65,16503.08,13775.95
2018,State,DC,11,>65,11259.94,9625.53
2018,State,DE,10,All,10796.46,9846.07
2018,State,DE,10,<65,13506.44,12291.53
2018,State,DE,10,>65,10411.71,9498.87
2018,State,FL,12,All,11586.42,11597.69
2018,State,FL,12,<65,13699.19,13613.32
2018,State,FL,12,>65,11322.04,11345.46
2018,State,GA,13,All,10193.39,10360.32
2018,State,GA,13,<65,12599.66,12798.3
2018,State,GA,13,>65,9706.49,9866.99
2018,State,HI,15,All,8244.41,6930.44
2018,State,HI,15,<65,13689.62,11699.19
2018,State,HI,15,>65,7680.41,6436.51
2018,State,IA,19,All,8909.1,8827.38
2018,State,IA,19,<65,10164.03,10241.72
2018,State,IA,19,>65,8734.25,8630.31
2018,State,ID,16,All,8486.38,8489.54
2018,State,ID,16,<65,9171.73,9320.69
2018,State,ID,16,>65,8370.19,8348.63
2018,State,IL,17,All,11081.37,10550.34
2018,State,IL,17,<65,13166.99,12538.7
2018,State,IL,17,>65,10761.66,10245.55
2018,State,IN,18,All,10220.84,10208.64
2018,State,IN,18,<65,11524.97,11468.44
2018,State,IN,18,>65,9955.52,9952.33
2018,State,KS,20,All,9887.76,10180.32
2018,State,KS,20,<65,10847.03,11245.12
2018,State,KS,20,>65,9741.03,10017.46
2018,State,KY,21,All,9814.57,10167.36
2018,State,KY,21,<65,9479.25,9776.27
2018,State,KY,21,>65,9914.16,10283.51
2018,State,LA,22,All,11370.96,11974.05
2018,State,LA,22,<65,12858.01,13284.58
2018,State,LA,22,>65,10999.23,11646.45
2018,State,MA,25,All,11946.89,10018.96
2018,State,MA,25,<65,12334.14,10331.78
2018,State,MA,25,>65,11864.02,9952.01
2018,State,MD,24,All,12259.83,10116.8
2018,State,MD,24,<65,16112.78,12894.94
2018,State,MD,24,>65,11668.87,9690.69
2018,State,ME,23,All,9208.97,8855.72
2018,State,ME,23,<65,9233.59,8989.23
2018,State,ME,23,>65,9202.27,8819.4
2018,State,MI,26,All,10713.48,10330.39
2018,State,MI,26,<65,11396.88,11066.64
2018,State,MI,26,>65,10546.25,10150.23
2018,State,MN,27,All,9993.53,9123.14
2018,State,MN,27,<65,11392.06,10381.1
2018,State,MN,27,>65,9517.8,8695.23
2018,State,MO,29,All,10011.24,10233.77
2018,State,MO,29,<65,11591.83,11783.36
2018,State,MO,29,>65,9668.87,9898.12
2018,State,MS,28,All,10667.6,11468.95
2018,State,MS,28,<65,11625.8,12370.04
2018,State,MS,28,>65,10416.02,11232.37
2018,State,MT,30,All,8441.19,8030.23
2018,State,MT,30,<65,9617.41,9192.39
2018,State,MT,30,>65,8275.05,7866.07
2018,State,NC,37,All,9652.4,9589.55
2018,State,NC,37,<65,11245.92,11147.4
2018,State,NC,37,>65,9323.9,9268.4
2018,State,ND,38,All,9060.87,8845.04
2018,State,ND,38,<65,9995.1,9917.25
2018,State,ND,38,>65,8933.94,8699.36
2018,State,NE,31,All,9830.16,9636.89
2018,State,NE,31,<65,11025.13,10997.54
2018,State,NE,31,>65,9687.02,9473.9
2018,State,NH,33,All,9751.86,8698.49
2018,State,NH,33,<65,9862.09,8800.58
2018,State,NH,33,>65,9731.55,8679.68
2018,State,NJ,34,All,12571.04,10796.44
2018,State,NJ,34,<65,14246.94,12276.97
2018,State,NJ,34,>65,12344.2,10596.05
2018,State,NM,35,All,8421.06,8127.25
2018,State,NM,35,<65,9717.03,9358.76
2018,State,NM,35,>65,8175.48,7893.89
2018,State,NV,32,All,11070.81,9990.97
2018,State,NV,32,<65,14708.63,13232.34
2018,State,NV,32,>65,10506.86,9488.48
2018,State,NY,36,All,12607.45,10450.7
2018,State,NY,36,<65,13088.33,11042.93
2018,State,NY,36,>65,12517.26,10339.62
2018,State,OH,39,All,10323.79,10319
2018,State,OH,39,<65,11141.56,11138.25
2018,State,OH,39,>65,10173.59,10168.53
2018,State,OK,40,All,10730.96,11152.52
2018,State,OK,40,<65,11596.92,12004.95
2018,State,OK,40,>65,10554.7,10979
2018,State,OR,41,All,8733.7,7827.66
2018,State,OR,41,<65,10065.3,9087.73
2018,State,OR,41,>65,8487.81,7594.98
